"Game","Prize","Players","Tournaments"
"Dota 2",310649833.83,4525,1717
"Fortnite",145204581.05,5827,1031
"Counter-Strike: Global Offensive",142855956.95,15367,6460
"League of Legends",98423110.07,8627,2759
"Arena of Valor",59968547.59,1435,124
"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile",58734839.37,3225,220
"PLAYERUNKNOWNâS BATTLEGROUNDS",52222180.38,3509,550
"StarCraft II",38331463.92,2162,6685
"Overwatch",34278670.88,3825,811
"Rainbow Six Siege",31901608.39,2603,505
"Hearthstone",28893344.27,2915,1007
"Rocket League",26395993.83,3189,2682
"Heroes of the Storm",18385772.65,1283,480
"Apex Legends",15965147.26,1946,641
"CrossFire",15811557.8,842,336
"VALORANT",14782529.86,4221,772
"Free Fire",13802969.54,1331,71
"Counter-Strike",13559672.19,4225,1018
"Call of Duty: Warzone",10869721.17,1225,377
"Magic: The Gathering Arena",9388000,293,50
"SMITE",9250112.75,542,97
"World of WarCraft",7596337.61,478,168
"Call of Duty: Modern Warfare",7500784.5,393,81
"StarCraft: Brood War",7245436.45,622,499
"Halo 5: Guardians",7160480.97,248,109
"League of Legends: Wild Rift",6963284.6,1093,62
"Call of Duty: Black Ops 4",6734938.95,389,82
"Mobile Legends: Bang Bang",6355387,793,43
"Call of Duty: Vanguard",6321000,261,91
"Call of Duty: Black Ops Cold War",6299000,274,89
"WarCraft III",6194543.92,675,1468
"Shadowverse",5508473.29,248,44
"Clash Royale",5213348.27,310,55
"Overwatch 2",4635355,300,15
"Call of Duty: WWII",4578021,296,77
"Clash of Clans",4471027.87,370,65
"chess24",4179375.43,90,28
"Call of Duty: Infinite Warfare",4166705.06,343,84
"World of Tanks",3988496.59,418,54
"Call of Duty: Black Ops III",3939783.29,424,78
"Call of Duty: Mobile",3908274,241,12
"Chess.com",3838064.33,824,354
"Brawl Stars",3766376.06,276,45
"Brawlhalla",3612341.09,845,641
"Super Smash Bros. Melee",3542159.27,1930,2640
"FIFA Online 4",3285714.48,361,56
"CrossFire Mobile",3282417.5,0,12
"Quake Champions",3280992.77,293,275
"FIFA 19",3246142.34,303,49
"Gears of War 4",3142785,155,152
"Counter-Strike: Source",3113222.29,1502,333
"Heroes of Newerth",3083448.04,810,396
"iRacing.com",3011494.83,1202,176
"Halo Infinite",2948155,200,33
"Teamfight Tactics",2939596.96,496,53
"Age of Empires II",2780112.38,1772,1382
"Call of Duty: Advanced Warfare",2611808.93,783,405
"FIFA 20",2606667.1,322,63
"Paladins",2490507.6,587,79
"Gears 5",2320920,163,112
"Halo 3",2318079.4,214,43
"Tekken 7",2298860.15,557,366
"Street Fighter V",2266798.43,279,130
"Street Fighter V: Arcade Edition",2263945.95,235,104
"FIFA 21",2245134.53,234,26
"Super Smash Bros. Ultimate",2241938.81,2318,1648
"FIFA 18",2233697.69,235,48
"H1Z1",2067122,119,13
"rFactor 2",1947383.12,494,96
"FIFA Online 3",1937542.85,124,25
"Point Blank",1733770.01,551,104
"StarCraft: Remastered",1697598.91,224,223
"Naraka: Bladepoint",1674681.75,93,5
"Halo 2",1626762.47,126,74
"Call of Duty: Ghosts",1594185.25,199,76
"Super Smash Bros. for Wii U",1515451.47,1281,1035
"FIFA 17",1482612.63,156,48
"Call of Duty: Black Ops 2",1479139.25,187,54
"WarCraft III: Reforged",1403280.02,126,316
"Gwent",1390997.17,343,120
"FIFA 22",1388411.5,160,10
"Lichess",1278327.78,343,154
"Magic: The Gathering Online",1218000,130,10
"Identity V",1189526.81,30,4
"Auto Chess",1163720.28,133,52
"Call of Duty: Modern Warfare 3",1160815.66,209,45
"Quake III Arena",1149561.21,284,108
"Painkiller",1015000,48,13
"Madden NFL 2017",1004000,42,5
"Madden NFL 22",1e+06,14,1
"NBA 2K18",1e+06,91,4
"Turbo Racing League",1e+06,16,9
"Madden NFL 20",923000,38,2
"Street Fighter V: Champion Edition",880417.66,246,142
"Defense of the Ancients",857420.65,468,94
"Injustice 2",837447.16,81,38
"Forza Motorsport 7",820200,123,12
"Ultra Street Fighter IV",818394.62,242,233
"Vainglory",797421.19,247,35
"Age of Empires IV",772497.85,394,231
