,Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio
1,Just Chatting,1.75816E+11,1989467400,2309980,10463,2923210,334543,3785,88.37
2,League of Legends,89968695780,1593003900,3145012,8924,1062221,171192,3031,56.48
3,Grand Theft Auto V,80177560440,1340994300,727079,6992,1495070,152562,2551,59.79
4,VALORANT,66419235720,2452552260,1197406,13550,1777879,126382,4666,27.08
5,Counter-Strike: Global Offensive,40433526960,560006700,1687805,2748,723263,76937,1065,72.2
6,Apex Legends,37915770000,2285021400,559133,13296,1867655,72146,4347,16.59
7,Fortnite,35118040200,2436604200,1024567,60854,3753888,66822,4636,14.41
8,Minecraft,31280169420,1125783540,2189881,6347,2225275,59520,2142,27.79
9,Dota 2,30424715640,424273200,1037857,2353,227748,57892,807,71.71
10,Call of Duty: Warzone,23924863740,1360896960,618010,12842,1022305,45524,2589,17.58
11,Slots,22856276640,67204140,284606,429,39935,43491,127,340.1
12,World of Warcraft,20632581660,573473580,800359,12297,233923,39259,1091,35.98
13,Lost Ark,19896344220,396716160,1273854,12784,277626,37858,754,50.15
14,Elden Ring,16907065980,733342380,908307,22969,766068,32170,1395,23.05
15,Escape from Tarkov,16036988460,457544940,690725,5313,190072,30515,870,35.05
16,Rust,15944992260,193471140,917741,1352,205622,30340,368,82.42
17,Dead by Daylight,14407918800,863821560,155860,4960,614081,27415,1643,16.68
18,Teamfight Tactics,13150485480,173699220,140778,1461,216159,25022,330,75.71
19,Music,13124188320,532974540,228912,2644,379009,24972,1014,24.62
20,FIFA 22,12746083320,353938620,785790,5823,749242,24253,673,36.01
21,Overwatch 2,11852834100,403459320,633993,12678,766983,22553,767,29.38
22,Hearthstone,11632458060,84964740,106267,687,75218,22134,161,136.91
23,Sports,11062720260,67427460,670136,908,175328,21050,128,164.07
24,Special Events,7980797100,31997640,3366021,4881,118637,15185,60,249.42
25,FIFA 23,7639057500,127483680,487770,5980,261517,14535,242,59.92
26,Genshin Impact,7636674660,513020880,614342,6499,491494,14531,976,14.89
27,Fall Guys,7551358980,260058900,417781,6833,1008070,14368,494,29.04
28,Rocket League,7367543760,422235360,348465,1927,853749,14018,803,17.45
29,ASMR,7249669800,93454380,52844,366,115579,13794,177,77.57
30,PUBG: BATTLEGROUNDS,7119559920,371331720,169794,1901,379920,13547,706,19.17
31,Virtual Casino,6196861440,25037160,275327,154,17939,11791,47,247.51
32,Tom Clancy's Rainbow Six Siege,6096127320,338738280,267799,2013,625969,11599,644,18
33,Art,5844134880,349758180,63932,2021,327122,11120,665,16.71
34,Call of Duty: Modern Warfare II,5477706900,462128100,759147,22803,788509,10423,879,11.85
35,Destiny 2,5259697980,400526520,451907,19199,340741,10008,762,13.13
36,Overwatch,5212482720,252740700,1459249,2725,324380,9918,480,20.62
37,Path of Exile,5086093800,86033640,260801,2927,44596,9677,163,59.12
38,World of Tanks,4578795120,89648760,65894,635,69865,8712,170,51.07
39,Final Fantasy XIV Online,4270616700,290598180,94670,3455,123878,8126,552,14.7
40,DayZ,3962612640,134579040,109745,614,141088,7540,256,29.44
41,Chess,3832798860,29514180,113009,172,43095,7293,56,129.86
42,Talk Shows & Podcasts,3800730060,114236040,142296,653,124594,7232,217,33.27
43,"Pools, Hot Tubs, and Beaches",3636452460,32051040,93029,196,40020,6919,60,113.46
44,Old School RuneScape,3557789280,72542700,64684,594,36989,6769,138,49.04
45,I'm Only Sleeping,3433070640,66387060,61985,317,42424,6532,126,51.71
46,Poker,3332355540,45246240,71390,395,26001,6340,86,73.65
47,Sea of Thieves,3209645520,173237220,131802,1278,264856,6107,329,18.53
48,Ark: Survival Evolved,3064218420,161196360,174919,1035,238029,5830,306,19.01
49,New World,3053485860,84525540,198821,2025,64472,5810,160,36.13
50,Retro,3006854640,105960360,39288,668,48897,5721,201,28.38
